jeg gir deg alle dataene : Region	Tilhørighet2EnhetID	Tilhørighet2	TilhørighetEnhetID	Tilhørighet	EnhetID	Enhetsnavn	Enhetskorttype	Enhetstype (Utledet)	Antall G/K - plasser	Antall budsjetterte plasser	Hjemler	Nedlagt Dato	Eierskapenhet	Lokasjonskode	ePhorte Adm Id	Fylke	Kommune	Adresse	Postnummer	Poststed	Telefon	Nettside	EPost	Orgnr
Sør	27879	Aberia Ung AS	52058	Aberia Ung Sør - Agder	38940	Slettevollen	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 4-2 Akutt, uten samtykke		Privat, kommersiell			AGDER	LINDESNES	Slettevollen 80	4534	MARNARDAL				929078802
Øst	1365	Stendi AS	28086	Stendi Område Øst	38957	Alexander Kiellands gate	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AKERSHUS	LILLESTRØM	Alexander Kiellands gate 10 B	2000	LILLESTRØM				918577335
Øst			1210	UNIPED Admin	39197	Omsorg 2	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, kommersiell			ØSTFOLD	SARPSBORG	Glomveien 1	1710	SARPSBORG				997398890
Øst	27879	Aberia Ung AS	52063	Aberia Ung - Østfold	39261	Grindvold	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, kommersiell			ØSTFOLD	MOSS	Mor Åses vei 15	1535	MOSS				984331584
Øst			1210	UNIPED Admin	39263	Omsorg 1	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-2 Akutt, uten samtykke		Privat, kommersiell			ØSTFOLD	SARPSBORG	Glomveien 1	1710	SARPSBORG				997398890
Sør			31011	Den Skreddersydde Enhet AS	39408	Birkeland (Urdalsveien)	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AGDER	BIRKENES	Urdalsveien 38	4760	BIRKELAND				913743059
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	39542	Støa	Barnevernsinstitusjon	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			AGDER	LINDESNES	Brelandsveien 639	4534	MARNARDAL				914417988
Vest	48647	Human Care Ung AS	28091	Humana Barnevern Sandnes	40737	Rossåsen	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon		Privat, kommersiell			ROGALAND	SANDNES	Rossåskroken 9	4332	FIGGJO				919204435
Sør			38250	Cura Kompetanse AS	40877	Skogfaret	Barnevernsinstitusjon	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse / § 5-5 Flytting / § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke		Privat, kommersiell			TELEMARK	PORSGRUNN	Skogfaret 26	3946	PORSGRUNN				916366779
Øst	1365	Stendi AS	28086	Stendi Område Øst	40945	Nordstrand	Avdeling	Barnevernsinstitusjon	2	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			OSLO	OSLO	Nordstrandsveien 49d	1163	OSLO				985194653
Øst			37941	Stiftelsen KIrkens Bymisjon Oslo	40961	Nordstrand	Barnevernsinstitusjon	Barnevernsinstitusjon	0	0			Privat, ideell			OSLO	OSLO	Lindbãckveien 53 D	1163	OSLO				
Nord	1365	Stendi AS	24701	Stendi Område Nord, Midt og Innlandet	41206	Lillevannet Bofellesskap	Avdeling	Barnevernsinstitusjon	2	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 3-2 Hjelpetiltak omsorg / § 5-1 Omsorgsovertakelse		Privat, kommersiell			FINNMARK	ALTA	Mathisdalen 299	9518	ALTA				
Øst	1365	Stendi AS	28086	Stendi Område Øst	41275	Solberg	Avdeling	Barnevernsinstitusjon	4	0	/ § 3-2 Hjelpetiltak omsorg / § 4-1 Hjelpetiltak akutt / § 4-2 Akutt, uten samtykke / § 5-1 Omsorgsovertakelse		Privat, kommersiell			AKERSHUS	BÆRUM	Solbergveien 5	1354	BÆRUMS VERK				
Sør	1365	Stendi AS	28085	Stendi Område Sør og Vest	41402	Holum	Barnevernsinstitusjon	Barnevernsinstitusjon	3	0	/ § 4-4 Akuttvedtak om plassering i atferdsinstitusjon / § 6-1 Vedtak om opphold i atferdsinstitusjon etter samtykke / § 6-2 Vedtak om plassering i atferdsinstitusjon uten samtykke / § 5-1 Omsorgsovertakelse / § 3-2 Hjelpetiltak omsorg / § 4-2 Akutt, uten samtykke / § 4-1 Hjelpetiltak akutt		Privat, kommersiell			AGDER	LINDESNES	Daleveien 952	4519	HOLUM				916647263
Øst	

[Message truncated - exceeded 50,000 character limit]
